ATTRIBUTE;COUNT
lærer;1415
lege;1382
assistent;654
trener;534
skuespiller;451
los;436
vanlig;410
arkitekt;347
fotograf;190
pilot;146
musiker;144
mann;138
menneske;122
modell;118
bas;112
journalist;112
forfatter;110
før;101
han;88
annen;70
kristen;61
produsent;51
elev;47
student;34
alltid;33
dust;28
det;24
fotballspiller;24
sagt;19
prins;15
filosof;13
kar;13
pedagog;12
statue;9
keiser;8
konge;8
fighter;7
normalt;6
gut;6
Lego;5
roman;5
helt;5
slave;4
gresk;4
spiller;3
tredje;3
korban;3
sponsor;2
libero;2
bil;2
slik;2
annan;2
advokat;2
norsk;2
sønn;2
##kem;1
gud;1
kopi;1
Theodor;1
manager;1
original;1
eneste;1
gave;1
familie;1
Elia;1
Noah;1
dansk;1
stor;1
romersk;1
