ATTRIBUTE;COUNT
lærer;1741
sykepleier;1630
journalist;1242
mamma;742
frivillig;651
assistent;516
skuespiller;494
sekretær;346
modell;312
mor;269
psykolog;170
selger;169
kvinne;96
vikar;87
vanlig;83
lege;78
annen;78
jente;69
henne;51
tolk;44
trener;40
brannmann;39
mann;39
advokat;34
vinner;34
prest;30
student;28
mester;27
før;26
fotograf;23
avisbud;22
Wenche;19
det;19
ingeniør;19
ting;18
konsulent;17
bonde;17
fisker;16
rektor;16
programleder;16
hund;16
fotballspiller;14
pappa;12
barn;11
gutt;10
politi;9
rådgiver;9
venn;8
venninne;8
datter;7
assistenttrener;6
normalt;6
dame;6
kunstner;6
person;6
oss;5
meg;5
pilot;5
sang;5
statsråd;4
sjåfør;4
politimann;4
maskin;4
fugl;4
regissør;4
landslagstrener;3
søker;3
Inga;3
vekter;3
prosjektleder;3
manager;3
forfatter;3
reporter;3
agent;3
Mary;3
innsjø;3
drøm;3
forsker;3
ener;3
Bjørgen;2
deg;2
Linda;2
megler;2
Julie;2
frivillige;2
ambassadør;2
Nora;2
sånn;2
by;2
kommune;2
Anette;2
politiker;2
familie;2
katt;2
slekt;2
art;2
Gerd;2
engel;1
historie;1
trend;1
leder;1
Marit;1
mennesker;1
kvinner;1
folk;1
kamp;1
bok;1
tid;1
skog;1
hovedtrener;1
gris;1
nestleder;1
dag;1
fest;1
kriger;1
same;1
sanger;1
singel;1
plante;1
øy;1
landsby;1
produsent;1
roman;1
kommentator;1
gave;1
selvfølge;1
Kristin;1
planlagt;1
instruktør;1
musiker;1
Anna;1
voksen;1
Emma;1
Elin;1
