ATTRIBUTE;COUNT
lærer;1371
journalist;924
sykepleier;720
assistent;374
pappa;316
skuespiller;271
mamma;271
frivillig;250
politimann;228
trener;224
lege;198
brannmann;183
psykolog;143
sekretær;119
det;117
bonde;115
barn;97
prest;95
vanlig;81
pilot;78
mann;69
annen;68
mor;64
vikar;59
manager;57
fotballspiller;56
gutt;48
advokat;46
vinner;45
avisbud;43
før;43
rektor;42
fotograf;40
selger;36
mester;35
politi;33
modell;31
person;31
homofil;29
student;25
tolk;25
normalt;20
ingeniør;20
meg;18
Henrik;17
planlagt;16
assistenttrener;15
vekter;15
programleder;15
venn;14
leder;14
fisker;13
skiskytter;11
sjåfør;11
trenere;10
rådgiver;10
lag;9
Thomas;9
Aksel;9
far;9
Emil;8
ham;8
hovedtrener;8
lensmann;8
oss;8
regissør;7
dem;7
reporter;7
konsulent;5
Isak;5
hund;5
voksen;5
Martin;4
prosjektleder;4
Petter;4
spiller;4
ener;4
dommer;4
landslagssjef;4
han;4
jente;4
fyr;4
venner;4
Magnus;3
megler;3
fotballspillere;3
Jakob;3
henne;3
produsent;2
kriger;2
klubb;2
sønn;2
flyktning;2
familie;2
Kåre;2
stabil;2
kvinne;2
kunstner;2
konge;2
kaptein;1
selvstendig;1
helt;1
Lucas;1
Filip;1
ting;1
Alexander;1
maskin;1
bror;1
fotball;1
Odd;1
vanskelig;1
redningsmann;1
fortjent;1
hjemme;1
forventet;1
nå;1
dette;1
utfordring;1
eliteserie;1
divisjon;1
svømmer;1
president;1
William;1
soldat;1
forfatter;1
agent;1
deg;1
journalister;1
Oskar;1
frivillige;1
Kristoffer;1
team;1
kompis;1
ambassadør;1
landslagstrener;1
Daniel;1
sånn;1
Kasper;1
engel;1
Harald;1
sjef;1
lagkamerat;1
