ATTRIBUTE;COUNT
barn;929
lærer;744
f;685
skuespiller;656
sønn;592
far;516
bror;201
d;191
faren;169
T;169
han;150
journalist;138
l;105
D;95
dr;76
jobb;74
advokat;62
L;61
konge;58
politiker;58
soldat;57
Sp;54
John;52
P;49
k;44
K;42
musiker;38
Knut;27
søn;26
Dr;26
Alex;25
DJ;24
kommune;24
dansk;22
Liam;21
kristen;21
Harald;21
Jan;20
Jakob;20
Noah;20
Thomas;20
Johannes;20
son;20
br;20
Karl;19
Per;19
Lucas;19
Sebastian;19
Alexander;19
Martin;19
Oliver;19
Bjørn;19
Oskar;19
Christian;19
R;19
Adrian;19
ung;19
Emil;18
William;18
Rolf;18
Daniel;18
fotballspiller;18
Markus;18
Sigurd;17
Tor;17
Theodor;17
Kjell;17
Nils;17
Marius;17
Anders;17
Johan;16
Filip;16
Andreas;16
Lars;16
pastor;16
Rune;15
hertug;15
mann;15
Olaf;14
Kristian;14
Ole;14
biskop;14
Matt;14
Odd;13
predikant;13
Olav;12
baby;12
kl;12
ord;12
Gunnar;11
Tobias;11
ski;11
Håkon;10
Magnus;10
Mathias;10
Leif;10
Aleksander;9
sp;9
Carl;8
Morten;8
Henrik;8
lege;8
statsminister;8
arkitekt;8
del;7
Peder;6
Ryan;6
Sam;6
t;6
Jonas;6
Einar;6
per;5
Luke;5
Sander;5
Elias;5
Charlie;5
en;5
ham;5
ridder;5
norsk;5
spiller;5
bank;5
fisk;5
prins;4
ting;4
Sean;4
Jacob;4
S;4
kommun;4
film;4
art;4
Mr;3
komponist;3
OL;3
Danmark;3
Fred;3
bl;3
agent;3
Marcus;3
pr;2
produsent;2
diplomat;2
Brian;2
Noel;2
farmer;2
kandidat;2
Alf;2
gitarist;2
kaptein;2
musikk;2
bok;2
Adam;2
Nick;2
Mark;2
tysk;2
slekt;2
o;1
band;1
arbeider;1
de;1
gift;1
keiser;1
H;1
mester;1
Thor;1
tsar;1
arm;1
klasse;1
rom;1
by;1
dk;1
forfatter;1
sv;1
Bro;1
Gallagher;1
Rory;1
Irland;1
Parker;1
manager;1
student;1
Hans;1
F;1
Oscar;1
mor;1
Tom;1
engelsk;1
fl;1
ø;1
##sel;1
V;1
roman;1
fodboldspiller;1
katolik;1
kirke;1
Gud;1
Max;1
storm;1
dronning;1
jurist;1
