ATTRIBUTE;COUNT
lærer;1394
snekker;1081
elektriker;659
sjåfør;634
politi;596
politimann;383
kokk;366
lege;263
vanlig;211
slakter;186
ingeniør;173
bussjåfør;138
murer;136
før;127
selger;121
modell;111
normalt;83
vaktmester;63
gutt;60
journalist;55
ventet;51
advokat;50
drosjesjåfør;49
kjempe;41
engel;40
arkitekt;38
vekter;37
sekretær;36
annen;32
helt;29
svenske;27
kontorsjef;23
danske;21
tannlege;16
eiendomsmegler;13
dykker;13
gartner;12
slik;12
assistent;11
fisker;11
trønder;11
jente;10
det;10
arkeolog;10
skredder;9
gigant;7
fotograf;7
variant;7
klem;6
storebror;6
gåte;6
venter;6
mann;4
regnskapsfører;3
bonde;3
rørlegger;3
person;3
sms;3
kriger;2
viking;2
smed;2
sønn;2
løve;2
slave;2
trener;2
besatt;2
kristen;2
karl;1
gris;1
instruktør;1
vulkan;1
jotun;1
stian;1
planlagt;1
alltid;1
prest;1
ildsjel;1
hund;1
ulv;1
bjørn;1
william;1
ener;1
bror;1
venn;1
del;1
demon;1
johannes;1
profet;1
bønn;1
martyr;1
elev;1
frivillig;1
pleier;1
